tc Particular-0705	0
tc Particular-0665	10
tc Particular-0666	10
tc Particular-0664	10
tc Particular-0662	1
tc Particular-0816	1
tc Particular-0817	1
tc Particular-0670	10
tc Particular-0669	10
tc Particular-0679	640,360,0
tc Particular-0668	0
tc Particular-0678	1000
tc Particular-0674	500
tc Particular-0753	50
tc Particular-0675	270
tc Particular-0677	<n/a>
tc Particular-0614	<n/a>
tc Particular-0638	0
tc Particular-0615	1
tc Particular-0636	2
tc Particular-0635	0,0,0
tc Particular-0618	500
tc Particular-0625	5
tc Particular-0654	1
tc Particular-0630	0
tc Particular-0631	0
tc Particular-0632	0
tc Particular-0653	10
tc Particular-0637	0
tc Particular-0616	100
tc Particular-0617	50
tc Particular-0619	0
tc Particular-0620	0
tc Particular-0634	1
tc Particular-0639	<n/a>
tc Particular-0060	<n/a>
tc Particular-0686	<n/a>
tc Particular-0746	<n/a>
tc Particular-0022	0
tc Particular-0023	0
tc Particular-0024	0
tc Particular-0747	<n/a>
tc Particular-0688	<n/a>
tc Particular-0019	0
tc Particular-0020	1
tc Particular-0021	1
tc Particular-0689	<n/a>
tc Particular-0167	1
tc Particular-0789	<n/a>
tc Particular-0790	0
tc Particular-0791	1
tc Particular-0792	<n/a>
tc Particular-0793	0
tc Particular-0794	0
tc Particular-0810	0
tc Particular-0811	0
tc Particular-0795	<n/a>
tc Particular-0040	<n/a>
tc Particular-0041	0
tc Particular-0680	0
tc Particular-0812	1
tc Particular-0042	0
tc Particular-0043	0
tc Particular-0044	0
tc Particular-0813	1
tc Particular-0814	<n/a>
tc Particular-0815	0
tc Particular-0045	0.5
tc Particular-0308	2
tc Particular-0691	<n/a>
tc Particular-0046	10
tc Particular-0047	3
tc Particular-0048	0.5
tc Particular-0049	1.5
tc Particular-0052	50
tc Particular-0309	0
tc Particular-0053	0
tc Particular-0054	0
tc Particular-0055	0
tc Particular-0796	0
tc Particular-0797	0
tc Particular-0798	0
tc Particular-0801	0
tc Particular-0802	5
tc Particular-0692	<n/a>
tc Particular-0748	80
tc Particular-0077	80
tc Particular-0056	<n/a>
tc Particular-0091	<n/a>
